Company_Brand,Sector,Stage,HeadQuarter,BIO,Year,Amount
TheCollegeFever,Marketing Services,Seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,3003.724618526973
Happy Cow Dairy,Agriculture,Seed,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,480595.93896431575
MyLoanCare,Financial Services,Series A,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,2018,780968.400817013
PayMe India,Financial Services,Angel,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,24029.796948215782
Eunimart,E-Commerce,Seed,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,0.0
Hasura,Internet Services,Seed,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,19223.837558572628
Tripshelf,Internet Services,Seed,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,2018,192238.3755857263
Hyperdata.IO,Market Research,Angel,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,2018,600744.9237053946
Freightwalla,Technology,Seed,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,0.0
Microchip Payments,Mobile Payments,Seed,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,2018,0.0
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,2018,0.0
Emojifi,Internet Services,Seed,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,0.0
Flock,Technology,Seed,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,0.0
Freshboxx,Food Delivery,Seed,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,0.0
Wide Mobility Mechatronics,Industrial Automation,Seed,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,2018,0.0
